ID,Status,Priority,Phase,Title,Description,Files,Dependencies,Acceptance Criteria,Notes
A1,Done,High,Scaffold,Init Bun workspace scaffold,"package.json (deps: hono, handlebars→mustache.js, linkedom; devDeps: wrangler, @cloudflare/workers-types, @types/bun), tsconfig.json (editor support only), .gitignore, bun install + commit bun.lock",website/package.json; website/tsconfig.json; website/.gitignore; website/bun.lock,,bun install resolves lockfile; no npm/npx anywhere,Bun is the toolchain; production runtime is workerd via wrangler
A2,Done,High,Scaffold,Create site config,"site.config.json: url compressy.app, brand name/tagline, version 1.4.2, downloads.assetsBase https://assets.compressy.app with {version}/Compressy-setup.exe pattern, nav links, SEO defaults; typed src/config.ts export + downloadUrl()",website/src/site.config.json; website/src/config.ts,A1,Config parses as JSON; types imported by worker + tests,"Single source of truth — version bumps propagate to CTAs, JSON-LD, /download redirect"
A3,Done,Medium,Scaffold,Vendor client assets,Download htmx 2.0.10 + Alpine 3.16.2 minified into public/vendor (self-hosted); copy design/app.ico → public/favicon.ico and design/icon.png → public/icon.png,website/public/vendor/htmx.min.js; website/public/vendor/alpine.min.js; website/public/favicon.ico; website/public/icon.png,A1,Files present at pinned versions,Matches desktop-app vendoring approach
A4,Done,High,Scaffold,Port design tokens CSS,Port :root tokens verbatim from design/landing.html plus reset/base layer (bare-tag typography inside .section/.container) and responsive breakpoints 1080/860/560 + reduced-motion guard,website/public/css/site.css; design/landing.html,A1,Token sets verified identical to landing.html :root block,Moved from src/css/ to public/css/ during A6 rework so the free asset path serves it
A5,Done,High,Scaffold,Hono worker + wrangler wiring,"Minimal Hono app (headers, /healthz, /download redirect, notFound stub) + wrangler.jsonc; smoke test under bunx wrangler dev",website/wrangler.jsonc; website/worker/index.ts,A2,wrangler dev boots; assets served; /healthz ok; unmatched path reaches worker; /download 302s to R2 URL,Smoke passed 2026-08-23; superseded by A6 routing rework
A6,Done,High,Scaffold,Rework scaffold for on-the-fly model,"wrangler.jsonc → assets directory ./public with html_handling none, not_found_handling none, run_worker_first [/, /404.html, /*.html]; add kv_namespaces CACHE binding (placeholder id, local sim in dev); Text rules scoped to src/**/*.html so public pages can never bundle; move site.css → public/css/; delete build stub; package.json scripts reduced to dev/test/deploy",website/wrangler.jsonc; website/package.json; website/public/css/site.css,A4; A5,wrangler dev serves css/vendor/favicon from free asset path; / hits worker; raw pages never served unexpanded,Implements decision: on-the-fly expansion + KV cache; pages live at public/{slug}.html
B1,Done,High,Framework core,Element registry (mustache),"registry.ts imports element/layout vanilla .html templates as text modules via wrangler Text rules; ElementDef { templateName, mapper(api), collect? }; ElementApi = attrs()/slot()/child()/outer()/text(); mustache.js renderer (zero deps, no eval — workers-safe by construction)",website/src/elements/registry.ts,A6,Registry loads partial set under Bun and wrangler without error,Templates must not be publicly fetchable — bundling keeps them out of assets
B2,Done,High,Framework core,Pure expander function,"src/expander.ts expandPage(source, ctx, registry) returns body/meta/collected; linkedom parseHTML (full-doc normalization for bare fragments); deepest-first e-* expansion via outerHTML replacement; slot= overrides; nesting supported; unknown tags left untouched as visible signal; zero I/O",website/src/expander.ts,B1,Fixture page with nested e-* expands fully; zero unexpanded tags in output body,Deepest-first so slotted children resolve before parents render
B3,Done,High,Framework core,Meta resolution + layout render,meta.ts extractMeta/resolveMeta with precedence page > config > derived; layouts/base.html shell with meta/canonical/OG/Twitter/nav/footer; trusted URL fields use triple-stache because mustache default escaping entity-encodes slashes (regression-tested),website/src/meta.ts; website/src/layouts/base.html,B2,Rendered output has complete head; OG defaults injected when not overridden,Authored head stripped after extraction
B4,Done,High,Framework core,Worker routes,"worker/app.ts createApp({defs?, partials?, layout?}): / expands index.html; /{slug}[/] expands public/{slug}.html via ASSETS binding fetch; *.html probes 301 to clean URLs; sitemap.xml + robots.txt generated from manifest slugs; /download 302; /healthz; fallback expands 404.html with status 404; security headers on all worker responses",website/worker/app.ts; website/worker/index.ts; website/src/manifest.ts,B2; B3,Every route behaves per plan section 6 table; unknown slug renders expanded 404,manifest.ts lists slugs; sync-tested against public/*.html
B5,Done,High,Framework core,KV cache layer,rev = sha256(config + REGISTRY_VERSION + layout + all partial sources) memoized per isolate; key {rev}:{slug}:{sha256(source)} scopes invalidation per page edit; miss path responds then waitUntil(CACHE.put ttl 30d); Cache-Control public max-age=300 on HTML responses,website/worker/app.ts,B4,Second identical request served from KV without re-expansion (route test asserts puts==1 gets==2),Cold-miss races do redundant idempotent work — no locks by design
B6,Done,High,Framework core,Test suite green,"bun test 19/19 green: expander fixtures (nesting/slots/collect/unknown-tag/head-extraction), meta precedence, JSON-LD shapes, route integration via hono/testing app.request with mock ASSETS/KV against the REAL production layout, manifest-public sync, raw-leak guard (/index.html never raw), URL-escape regression guard (no &#x2F; in output)",website/test/expand.test.ts; website/test/routes.test.ts; website/test/text-preload.ts,B2; B3; B4; B5,bun test exits 0; every fixture element exercised through full pipeline,Tests gate Phase C porting
B7,Done,Medium,Framework core,Single Alpine entry,public/js/app.js registers every interactive component via alpine:init (nav toggle + download toast shipped; more land with each Phase C/D element); loaded before vendored alpine.min.js so both defer in document order; elements opt in via x-data attribute,website/public/js/app.js,B3,wrangler dev serves /js/app.js from free asset path; layout wires it before alpine.min.js,One file = one place to audit client behavior
C1,Done,High,Element library,Atoms: button/pill/card,"e-button (primary|ghost × sm), e-pill (default|success), e-card (svg icon via outer() + h3 + p slots) — vanilla .html partials + mappers + CSS blocks reusing design classnames (.btn .pill .card)",website/src/elements/pill.html; website/src/elements/button.html; website/src/elements/card.html; website/public/css/site.css,A4; B1,Fixtures expand to markup matching both design files' atom styles,Design-native classnames reused for fidelity
C2,Done,High,Element library,Hero + app mock,e-hero (attrs pill/title; slots lead/actions/proof) + e-mock (app mock chrome; rows via mock-row children) — convert gallery inline styles to real CSS,website/src/elements/hero.html; website/src/elements/mock.html; website/public/css/site.css,A4; B1,Hero + mock match landing.html hero pixel-close at 1440px,Mock is bespoke partial; demo wrappers stripped
C3,Done,High,Element library,Cards grids + bento,"e-cards variant icons|rules|rows with cols attr (features 01–03, grids-01) + e-bento with span attrs on cells (grids-03, features-03) — partials + mappers + CSS incl responsive collapse",website/src/elements/cards.html; website/src/elements/bento.html; website/public/css/site.css,A4; B1,All variants render per galleries; 4→2→1 responsive collapse intact,Children: repeated e-card or li items
C4,Done,High,Element library,Stats + steps,"e-stats variant rules|strip|bento|row (stats 01–04, grids-02) + e-steps variant horizontal|timeline|numbered|icons (process 01–04) with HowTo collect() harvesting step titles/bodies",website/src/elements/stats.html; website/src/elements/steps.html; website/public/css/site.css,A4; B1,Variants render per galleries; e-steps emits HowTo structured data,tabular-nums preserved on stat values
C5,Done,Medium,Element library,Points + logos,e-points variant checks|cols|numbered|dots (points 01–04) + e-logos variant bar|grid|pills|cluster (logos 01–04) — partials + mappers + CSS,website/src/elements/points.html; website/src/elements/logos.html; website/public/css/site.css,A4; B1,All variants render per galleries,li children → items; svg children → logos
C6,Done,High,Element library,FAQ element,e-faq variant accordion|cards|list|compact (faqs 01–04); accordion = native details/summary (JS-free); FAQPage collect() harvests Q/A from details children,website/src/elements/faq.html; website/public/css/site.css,A4; B1,Accordion works without JS; FAQPage JSON-LD matches rendered Q/A pairs,Same data drives all four variants
C7,Done,Medium,Element library,Table element,"e-table variant savings|matrix|changelog|pricing (table 01–04); authors write semantic tables, mapper adds wrapper chrome",website/src/elements/table.html; website/public/css/site.css,A4; B1,Four variants render per gallery; mono numerals preserved,Changelog variant reused by downloads page next pass
C8,Done,High,Element library,CTA element,e-cta variant band|split|inline|cards (call-to-actions 01–04); attrs title/sub; slot actions resolving download URLs from site config via ExpandCtx; download CTAs get x-data=download toast behavior,website/src/elements/cta.html; website/public/css/site.css,A4; B1; D4,Variants render per gallery; download hrefs use R2 asset URL pattern,CTA band powers landing final section
C9,Done,Low,Element library,Content editorial element,e-content variant editorial (content-01 long-form guide): prose container with eyebrow/head structure; docs/explainer/kb variants deferred,website/src/elements/content.html; website/public/css/site.css,A4; B1,Editorial variant renders per content-01,Editorial variant live; docs/explainer/kb deferred to later pass
C10,Done,Medium,Element library,Authoring contract README,"Document the framework contract: tag-mapping defaults per element, slot= override rule, nesting semantics, x-data Alpine component list, variant attribute reference table with example snippet per v1 element",website/src/elements/README.md,C1; C9,Every v1 element documented with example snippet,Contract for future keyword-page authors
C11,Done,High,Element library,Classless extraction pass,"Extract remaining hand-rolled markup from public/index.html into elements: e-section (id/warm/eyebrow/title/lead + body), e-formats+e-format, e-quality, e-example, e-note; e-hero consumes e-proof children (auto dot separators); e-bento consumes structured e-cell (eyebrow/chip); ElementApi.render() for internal partials (e-bento-cell); steps footnote attr used; classless-guard test asserts zero class=/style= across published pages; REGISTRY_VERSION bumped to 3. Refinement: e-formats folded into e-card type=format (badge-card variant); e-quality renamed to generic e-progress-line",website/src/elements/e-section.html; website/src/elements/e-progress-line.html; website/src/elements/e-example.html; website/src/elements/e-note.html; website/src/elements/index.ts; website/public/index.html,B6,bun test green incl. classless-guard; public/index.html contains no class= or style=,Landing page now fully declarative — template for future keyword pages
D1,Done,High,Landing page,Rebuild landing page,"Author public/index.html section-for-section from design/landing.html using elements: hero+mock, offline e-cards icons, workflow e-steps horizontal, formats cards + quality row, principles splits, stay-out e-split narrow, final e-cta band",website/public/index.html; design/landing.html,C2; C3; C4; C6; C8,curl / returns every landing.html section expanded; zero unexpanded tags; classless authoring throughout,Section anchors #offline #workflow #formats preserved for nav links
D2,Done,High,Landing page,Nav + footer layout fidelity,"layouts/base.html nav/footer matching landing.html exactly: brand mark C, section links, Download CTA button, footer brand/links row; mobile toggle wired to Alpine nav component",website/src/layouts/base.html,A3; B7,Nav/footer visually identical to design; toggle works via Alpine only,Progressive enhancement — nav functional without JS
D3,Done,High,Landing page,JSON-LD emission wiring,"Verify structured-data emission end-to-end on landing: SoftwareApplication + WebSite from config, FAQPage when faq present, breadcrumb plumbing; validate all ld+json blocks parse",website/src/jsonld.ts,D1,ld+json valid JSON; SoftwareApplication reflects name/OS/free price,Auto-derived during expansion — no manual JSON authoring
